"tipo","nombre","atributo_1","descripcion","atributo_2","atributo_3","precio_mxn","stock"
"planta","Lengua de suegra","Sansevieria trifasciata","Planta resistente que purifica el aire y requiere pocos cuidados.","bajo","baja","178.29","25.0"
"planta","Monstera deliciosa","Monstera deliciosa","Aporta un aire tropical y mejora el ánimo en interiores bien iluminados.","medio","media","377.79","18.0"
"planta","Poto dorado","Epipremnum aureum","Ideal para principiantes, mejora la calidad del aire y crece con poca luz.","bajo","baja","125.79","40.0"
"planta","Palma Areca","Dypsis lutescens","Purifica el aire y añade elegancia a espacios amplios.","medio","alta","419.79","12.0"
"planta","Helecho de Boston","Nephrolepis exaltata","Humidifica el ambiente y es excelente para baños o cocinas.","medio","media","199.29","30.0"
"planta","Cactus miniatura","Mammillaria spp.","Muy decorativo, ideal para escritorios; requiere poco riego.","bajo","alta","73.29","50.0"
"planta","Calathea medallion","Calathea veitchiana","Planta ornamental de hojas vibrantes, requiere atención moderada.","alto","media","293.79","10.0"
"planta","Ficus lyrata","Ficus lyrata","Estilo moderno y frondoso, mejora el aire pero necesita cuidados constantes.","alto","alta","524.79","5.0"
"aromaterapia","Vela relajante Lavanda & Salvia","lavanda,salvia","Reduce el estrés y promueve el sueño profundo.","vela","188.79","35",""
"aromaterapia","Spray ambiental Energía Citrus","naranja,limón,bergamota","Estimula el ánimo y revitaliza espacios.","spray ambiental","125.79","60",""
"aromaterapia","Roll-on antiansiedad Zen","lavanda,manzanilla,ylang-ylang","Ideal para aplicar en puntos de pulso, alivia tensión y ansiedad.","roll-on","104.79","45",""
"aromaterapia","Difusor eléctrico Tranquilidad","cedro,incienso,sándalo","Aporta un ambiente sereno y meditativo por horas.","difusor","377.79","20",""
"aromaterapia","Vela energética Romero & Menta","romero,menta","Despierta la concentración y energía mental.","vela","167.79","50",""
"aromaterapia","Aceite esencial puro Lavanda","lavanda","Usado para masajes o difusores, relaja profundamente.","frasco 10ml","96.39","100",""
"aromaterapia","Spray nocturno Buenas Noches","lavanda,manzanilla,vetiver","Fórmula calmante para rociar sobre almohadas antes de dormir.","spray ambiental","136.29","70",""
